Device,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
Desktop,171,146,22031,11094,0.78%,1.32%,17.29,17.77
Mobile,57,54,3509,2329,1.62%,2.32%,8.17,8.83
Tablet,19,6,311,189,6.11%,3.17%,6.94,7.39
